x	y	erry
0	0.158	0.001
0.167	0.156	0.001
0.333	0.154	0.001
0.499	0.151	0.001
0.666	0.149	0.001
0.832	0.148	0.001
0.999	0.144	0.001
1.165	0.143	0.001
1.332	0.141	0.001
1.498	0.138	0.001
1.665	0.137	0.001
1.831	0.134	0.001
1.998	0.133	0.001
2.164	0.132	0.001
2.331	0.13	0.001
2.497	0.128	0.001
2.663	0.127	0.001
2.83	0.125	0.001
2.996	0.121	0.001
3.163	0.12	0.001
3.329	0.118	0.001
3.496	0.116	0.001
3.662	0.113	0.001
3.829	0.112	0.001
3.995	0.109	0.001
4.162	0.109	0.001
4.328	0.107	0.001
4.495	0.104	0.001
4.661	0.102	0.001
4.827	0.102	0.001
4.994	9.88E-02	0.001
5.16	9.63E-02	0.001
5.327	9.63E-02	0.001
5.493	9.33E-02	0.001
5.66	9.20E-02	0.001
5.826	9.08E-02	0.001
5.993	8.90E-02	0.001
6.159	8.71E-02	0.001
6.326	8.65E-02	0.001
6.492	8.53E-02	0.001
6.659	8.41E-02	0.001
6.825	8.10E-02	0.001
6.992	7.91E-02	0.001
7.158	7.67E-02	0.001
7.324	7.61E-02	0.001
7.491	7.49E-02	0.001
7.657	7.36E-02	0.001
7.824	7.24E-02	0.001
7.99	6.99E-02	0.001
8.157	6.87E-02	0.001
8.323	6.38E-02	0.001
8.49	6.44E-02	0.001
8.656	6.20E-02	0.001
8.823	6.07E-02	0.001
8.989	5.95E-02	0.001
9.156	5.77E-02	0.001
9.322	5.52E-02	0.001
9.489	5.46E-02	0.001
9.655	5.22E-02	0.001
9.821	5.15E-02	0.001
9.988	4.97E-02	0.001
10.32	4.72E-02	0.001
10.49	4.42E-02	0.001
10.65	4.42E-02	0.001
10.82	4.11E-02	0.001
10.99	3.99E-02	0.001
11.15	3.93E-02	0.001
11.32	3.62E-02	0.001
11.49	3.37E-02	0.001
11.65	3.07E-02	0.001
